FDORDER,MinGridsperWavelength,H1,H2,H3,H4,H5,H6
2,9.16,1.03,0,0,0,0,0
4,3.47,1.1876,-0.072518,0,0,0,0
6,2.91,1.2341,-0.10569,0.022589,0,0,0
8,2.61,1.2516,-0.12085,0.032236,-0.011459,0,0
10,2.45,1.2596,-0.12829,0.038533,-0.014681,0.007258,0
12,2.36,1.264,-0.13239,0.042217,-0.017803,0.0081959,-0.0051848
