FDORDER,MinGridsperWavelength,H1,H2,H3,H4,H5,H6
2,15.8,1.01,0,0,0,0,0
4,4.8,1.164,-0.057991,0,0,0,0
6,3.39,1.2192,-0.09407,0.014608,0,0,0
8,2.9,1.2422,-0.11269,0.02614,-0.0064054,0,0
10,2.65,1.2534,-0.12257,0.033755,-0.011081,0.0036784,0
12,2.51,1.2596,-0.12825,0.03855,-0.014763,0.0058619,-0.0024538
