FDORDER,MinGridsperWavelength,H1,H2,H3,H4,H5,H6
2,49.7,1.001,0,0,0,0,0
4,8.32,1.1382,-0.046414,0,0,0,0
6,4.77,1.1965,-0.078804,0.0081781,0,0,0
8,3.69,1.2257,-0.099537,0.018063,-0.0026274,0,0
10,3.19,1.2415,-0.11231,0.026191,-0.0064682,0.001191,0
12,2.91,1.2508,-0.12034,0.032131,-0.010142,0.0029857,-0.00066667
